split,representation,censor_policy,feature,bin_center_THz,n,spearman_rho
train,total_shape,exclude,totalDOS_011.00_012.00THz,11.5,191,-0.02518096504360157
train,total_shape,exclude,totalDOS_012.00_013.00THz,12.5,191,-0.1326280927204472
train,total_shape,exclude,totalDOS_013.00_014.00THz,13.5,191,-0.31564273598841375
train,total_shape,exclude,totalDOS_014.00_015.00THz,14.5,191,-0.3854000241291375
train,total_shape,exclude,totalDOS_015.00_016.00THz,15.5,191,-0.1755064272143205
train,total_shape,exclude,totalDOS_016.00_017.00THz,16.5,191,0.133193356058326
train,total_shape,exclude,totalDOS_017.00_018.00THz,17.5,191,-0.21025121091598123
train,total_shape,exclude,totalDOS_018.00_019.00THz,18.5,191,-0.4479999039370961
train,total_shape,exclude,totalDOS_019.00_020.00THz,19.5,191,-0.3712444454653718
train,total_shape,exclude,totalDOS_020.00_021.00THz,20.5,191,-0.44532814966607
train,total_shape,exclude,totalDOS_021.00_022.00THz,21.5,191,-0.3770832695103803
train,total_shape,exclude,totalDOS_022.00_023.00THz,22.5,191,-0.3902460472448787
train,total_shape,exclude,totalDOS_023.00_024.00THz,23.5,191,-0.41934636224893185
train,total_shape,exclude,totalDOS_024.00_025.00THz,24.5,191,-0.4280221196979384
train,total_shape,exclude,totalDOS_025.00_026.00THz,25.5,191,-0.2565259888327991
train,total_shape,exclude,totalDOS_026.00_027.00THz,26.5,191,-0.22510930595094558
train,total_shape,exclude,totalDOS_027.00_028.00THz,27.5,191,-0.14550190696524848
train,total_shape,exclude,totalDOS_028.00_029.00THz,28.5,191,-0.1505022713017709
train,total_shape,exclude,totalDOS_029.00_030.00THz,29.5,191,-0.15269846908573592
train,total_shape,exclude,totalDOS_030.00_031.00THz,30.5,191,-0.0981170497006035
train,total_shape,exclude,totalDOS_031.00_032.00THz,31.5,191,-0.18846584779996434
train,total_shape,exclude,totalDOS_032.00_033.00THz,32.5,191,-0.12979943989778822
train,total_shape,exclude,totalDOS_033.00_034.00THz,33.5,191,-0.055746690717507874
train,total_shape,exclude,totalDOS_034.00_035.00THz,34.5,191,-0.005715882281988989
train,total_shape,exclude,totalDOS_035.00_036.00THz,35.5,191,0.008449569996485558
train,total_shape,exclude,totalDOS_036.00_037.00THz,36.5,191,0.07218598046048304
train,total_shape,exclude,totalDOS_037.00_038.00THz,37.5,191,0.05388860163471862
train,total_shape,exclude,totalDOS_038.00_039.00THz,38.5,191,-0.11096312132748636
train,total_shape,exclude,totalDOS_039.00_040.00THz,39.5,191,-0.11487049274347949
train,total_shape,exclude,totalDOS_040.00_041.00THz,40.5,191,-0.11610341631378489
train,total_shape,exclude,totalDOS_041.00_042.00THz,41.5,191,-0.11412015289387444
train,total_shape,exclude,totalDOS_042.00_043.00THz,42.5,191,-0.11112073660213553
train,total_shape,exclude,totalDOS_043.00_044.00THz,43.5,191,-0.11112073660213553
train,total_shape,exclude,totalDOS_044.00_045.00THz,44.5,191,-0.05384705297900841
train,total_shape,exclude,totalDOS_045.00_046.00THz,45.5,191,-0.08392637071241085
