model,outer_fold,scale_mult,weights,alpha,cv_MAE,cv_MAE_sd,MAE,RMSE,R2,Spearman_rho
li_rbf,3,0.5,"(1.0,)",0.1,1.6539995019844786,0.3302078496003844,2.133077013572988,2.6603732327182517,0.1293550608130769,0.45208603838881584
li_rbf,4,0.5,"(1.0,)",0.1,1.7081319666778392,0.2667695491028835,2.3285241915646537,3.007258372537089,0.5170717718431523,0.7879706042821033
li_rbf,5,0.5,"(1.0,)",0.1,1.834081383251644,0.4194833667252819,1.786478841657155,2.265844418580953,0.2865702429341326,0.5887835396251369
li_clr_rbf,1,0.5,"(1.0,)",0.1,1.6974202634078446,0.16237416420376585,1.104970973391086,1.535162776828686,0.277242329530325,0.496167931791681
li_clr_rbf,2,0.5,"(1.0,)",0.1,1.699204253851598,0.38742988387730387,1.291253332147053,1.6968564265522719,0.4218407772628384,0.6330374053478081
li_clr_rbf,3,0.5,"(1.0,)",0.004641588833612777,1.6897041501498848,0.48342423240216387,1.5706642425544506,2.0082365501601167,0.5038812110354267,0.7889966968872012
li_clr_rbf,4,0.5,"(1.0,)",0.1,1.567452564142624,0.3050086682256187,2.249611989707116,3.2336081042983427,0.44163797265279003,0.8528036286850612
li_clr_rbf,5,0.5,"(1.0,)",0.1,1.6228256257678304,0.4397493779357561,2.356228996657382,2.8061614301171165,-0.09424948124944321,0.3445173884303451
li_cdf_rbf,1,0.25,"(1.0,)",0.1,1.988811173414875,0.4390117213000933,1.299826682434233,1.698403248901057,0.11536224531462669,0.2154264357634555
li_cdf_rbf,2,2.0,"(1.0,)",0.004641588833612777,1.7075885336041519,0.5203606891709599,1.4973102279439492,2.043502766340693,0.16149101120719844,0.5106264388476217
li_cdf_rbf,3,0.5,"(1.0,)",0.1,1.558196341945578,0.46734843536764353,2.035662082377638,2.5261691834231557,0.214979845942605,0.6295347207921825
li_cdf_rbf,4,2.0,"(1.0,)",0.004641588833612777,1.6205529817749278,0.17455034415748522,2.1288499428978644,2.890937972920195,0.5537084608049482,0.8783439110256203
li_cdf_rbf,5,0.5,"(1.0,)",0.1,1.8051627469436964,0.4918542361826811,2.011213902883349,2.643198356445856,0.029153524255463692,0.5106572722887801
li_wasserstein,1,0.25,"(1.0,)",0.004641588833612777,1.868539730074763,0.4549343397939154,1.2226213006807614,1.5800691639712587,0.23433985425955806,0.22397583553816702
li_wasserstein,2,0.5,"(1.0,)",0.1,1.7237620488132706,0.5906605978351632,1.4157401792678015,2.0879938278861787,0.12458157343677567,0.6776537786575915
li_wasserstein,3,0.5,"(1.0,)",0.1,1.5650741326114441,0.486125961601446,1.7436340508497068,2.1988669854353966,0.4052234215740803,0.7089901782269656
li_wasserstein,4,0.5,"(1.0,)",0.1,1.638939132336275,0.11709775330255996,1.9822831702884287,2.8678565400139804,0.5608064519774403,0.8515946212369873
li_wasserstein,5,0.25,"(1.0,)",9.999999999999999e-06,1.6266658620596273,0.2511790825697851,1.8463413759596348,2.2702047570283646,0.28382178558658144,0.4881270831606606
total_rbf,1,0.25,"(1.0,)",0.004641588833612777,2.01300960657242,0.6156227894670039,2.0101167430037123,2.358028167137237,-0.7052255197470145,0.2740967268914628
total_rbf,2,0.5,"(1.0,)",0.1,1.8848488430264954,0.642005656305631,1.2431281435055281,1.6071952301130463,0.4813259354827445,0.6822744896455317
total_rbf,3,0.5,"(1.0,)",0.1,1.7464717566846704,0.7461332141298198,1.7709067859060537,2.22889894479147,0.3888656453536319,0.6641477942763145
total_rbf,4,0.5,"(1.0,)",0.1,1.6244300448880877,0.20554154689170023,2.525619816932822,3.459605207255208,0.36086266063227856,0.6165937985176412
total_rbf,5,0.5,"(1.0,)",0.1,1.7004332406677498,0.4371954789213311,2.0419446084024737,2.5956573745623066,0.06376304881261508,0.32101467315281035
total_cdf_rbf,1,0.25,"(1.0,)",0.1,1.9249978613388576,0.40126291250098917,1.053195237585833,1.548809653422704,0.2643352615419694,0.3665194248846172
total_cdf_rbf,2,0.25,"(1.0,)",0.1,1.9524519020832953,0.7985823395221338,1.4701852025714814,2.0241832290594868,0.17727080789764926,0.5334269963454906
total_cdf_rbf,3,1.0,"(1.0,)",0.004641588833612777,1.9605370890995073,0.7646776054151339,2.232840288152127,2.956579378804589,-0.0753133259326273,0.48443187998534104
total_cdf_rbf,4,0.25,"(1.0,)",0.1,1.5610827522977013,0.3204067918538811,2.49328608243713,3.680540672106596,0.27662357851510877,0.6427385845822373
total_cdf_rbf,5,0.25,"(1.0,)",0.004641588833612777,1.720245161538576,0.3338273463657822,3.1267260992230286,3.8711069008460766,-1.082386676168797,0.09052597574140096
total_wasserstein,1,0.25,"(1.0,)",0.004641588833612777,1.9124079147967434,0.3228736846139879,1.2836732712102603,1.8475743905400739,-0.04685785013449384,0.3334465966811845
total_wasserstein,2,0.25,"(1.0,)",0.1,1.8981346208377785,0.720237258503039,1.4719751766080844,2.0874453481715487,0.1250414274640601,0.500703272627619
total_wasserstein,3,0.25,"(1.0,)",2.154434690031882,1.9657409411766802,0.5944223790778078,2.3589393228889186,2.627831549571457,0.15052424967598432,0.4701437473023113
total_wasserstein,4,0.25,"(1.0,)",0.1,1.6656127098801177,0.433851805023414,2.504373499007301,3.6660580616096774,0.2823052258936545,0.6504460070637077
