scale_mult,weights,alpha,cv_MAE,cv_MAE_sd,model,search_scope
2.0,"(1.0,)",9.999999999999999e-06,7.653475597845617,4.591472995690385,static_rbf,outer_fold_2
2.0,"(1.0,)",0.00021544346900318823,3.836318060981564,1.8057160820426488,static_rbf,outer_fold_2
2.0,"(1.0,)",0.004641588833612777,2.4682909222621143,0.7906677776803804,static_rbf,outer_fold_2
2.0,"(1.0,)",0.1,2.0969863745530133,0.43234838327579456,static_rbf,outer_fold_2
2.0,"(1.0,)",2.154434690031882,2.5037463718147506,0.43618305068586655,static_rbf,outer_fold_2
2.0,"(1.0,)",46.41588833612773,2.882917366479952,0.5134664804794126,static_rbf,outer_fold_2
2.0,"(1.0,)",1000.0,2.919263648057008,0.5142598736521308,static_rbf,outer_fold_2
4.0,"(1.0,)",9.999999999999999e-06,8.06239988286853,6.601859011763051,static_rbf,outer_fold_2
4.0,"(1.0,)",0.00021544346900318823,4.163284202366645,2.24620387455421,static_rbf,outer_fold_2
4.0,"(1.0,)",0.004641588833612777,2.3314211389843797,0.69597956500137,static_rbf,outer_fold_2
4.0,"(1.0,)",0.1,2.1992628147993374,0.3885487927253523,static_rbf,outer_fold_2
4.0,"(1.0,)",2.154434690031882,2.7628646137037753,0.5118541546460911,static_rbf,outer_fold_2
4.0,"(1.0,)",46.41588833612773,2.912162198025178,0.5143517614148528,static_rbf,outer_fold_2
4.0,"(1.0,)",1000.0,2.9206709920447986,0.5143009972310021,static_rbf,outer_fold_2
0.25,"(1.0,)",9.999999999999999e-06,2.334604908881836,0.9519060932073157,static_rbf,outer_fold_3
0.25,"(1.0,)",0.00021544346900318823,2.107416132498745,0.38233608654388057,static_rbf,outer_fold_3
0.25,"(1.0,)",0.004641588833612777,2.1203258396334967,0.28070637214692545,static_rbf,outer_fold_3
0.25,"(1.0,)",0.1,2.1518492424605533,0.18548257730707673,static_rbf,outer_fold_3
0.25,"(1.0,)",2.154434690031882,2.3390751701054686,0.25449566953709746,static_rbf,outer_fold_3
0.25,"(1.0,)",46.41588833612773,2.6634518139932646,0.48713535331953045,static_rbf,outer_fold_3
0.25,"(1.0,)",1000.0,2.767362834573944,0.5475141629276253,static_rbf,outer_fold_3
0.5,"(1.0,)",9.999999999999999e-06,4.259423230747487,2.275831297164661,static_rbf,outer_fold_3
0.5,"(1.0,)",0.00021544346900318823,2.3102812074960966,1.1421720225883936,static_rbf,outer_fold_3
0.5,"(1.0,)",0.004641588833612777,1.8717213904203005,0.5284984035853505,static_rbf,outer_fold_3
0.5,"(1.0,)",0.1,1.832916779033586,0.45449916969926285,static_rbf,outer_fold_3
0.5,"(1.0,)",2.154434690031882,2.151570041420631,0.2846817873966486,static_rbf,outer_fold_3
0.5,"(1.0,)",46.41588833612773,2.6279099049470807,0.4532018137524711,static_rbf,outer_fold_3
0.5,"(1.0,)",1000.0,2.7652241180192623,0.5453306335860026,static_rbf,outer_fold_3
1.0,"(1.0,)",9.999999999999999e-06,7.865583616408879,7.452086438548872,static_rbf,outer_fold_3
1.0,"(1.0,)",0.00021544346900318823,3.2848464123081405,2.188008017071635,static_rbf,outer_fold_3
1.0,"(1.0,)",0.004641588833612777,2.0482754782401735,1.02229077575744,static_rbf,outer_fold_3
1.0,"(1.0,)",0.1,1.880087312585884,0.7170992658500392,static_rbf,outer_fold_3
1.0,"(1.0,)",2.154434690031882,2.3435991769970714,0.3426240617537678,static_rbf,outer_fold_3
1.0,"(1.0,)",46.41588833612773,2.706233226532103,0.4884315571635607,static_rbf,outer_fold_3
1.0,"(1.0,)",1000.0,2.7706265515222626,0.5478061471254153,static_rbf,outer_fold_3
2.0,"(1.0,)",9.999999999999999e-06,10.527207158800543,12.494240789735484,static_rbf,outer_fold_3
2.0,"(1.0,)",0.00021544346900318823,3.956083178929753,3.4013961529304546,static_rbf,outer_fold_3
2.0,"(1.0,)",0.004641588833612777,2.4920151497594367,1.5307997198412542,static_rbf,outer_fold_3
2.0,"(1.0,)",0.1,2.2822938591849633,0.9887074253560614,static_rbf,outer_fold_3
2.0,"(1.0,)",2.154434690031882,2.5958831602418337,0.3723408286048638,static_rbf,outer_fold_3
2.0,"(1.0,)",46.41588833612773,2.757206907757842,0.5271064091770609,static_rbf,outer_fold_3
2.0,"(1.0,)",1000.0,2.7735122334812754,0.5500152050640178,static_rbf,outer_fold_3
4.0,"(1.0,)",9.999999999999999e-06,10.626403943493525,14.60509361195001,static_rbf,outer_fold_3
4.0,"(1.0,)",0.00021544346900318823,4.847359300247939,4.612712410006161,static_rbf,outer_fold_3
4.0,"(1.0,)",0.004641588833612777,2.259737179350376,1.1622342189040777,static_rbf,outer_fold_3
4.0,"(1.0,)",0.1,2.491696880958523,0.6758616150444647,static_rbf,outer_fold_3
4.0,"(1.0,)",2.154434690031882,2.6923485499729387,0.4512550322537871,static_rbf,outer_fold_3
4.0,"(1.0,)",46.41588833612773,2.769258264127934,0.5453610531570569,static_rbf,outer_fold_3
4.0,"(1.0,)",1000.0,2.7741928716577506,0.5508567749497406,static_rbf,outer_fold_3
0.25,"(1.0,)",9.999999999999999e-06,3.9856977169268113,3.2804744742209073,static_rbf,outer_fold_4
0.25,"(1.0,)",0.00021544346900318823,2.043432693965207,0.3323154423891116,static_rbf,outer_fold_4
0.25,"(1.0,)",0.004641588833612777,1.81808704774981,0.036037026783283,static_rbf,outer_fold_4
0.25,"(1.0,)",0.1,1.7631014257803708,0.08396024493142755,static_rbf,outer_fold_4
