split,representation,bin_width_THz,feature,bin_low_THz,bin_high_THz,bin_center_THz,n,transform,pearson_r,pearson_ci95_low,pearson_ci95_high,pearson_p_analytic,pearson_p_fdr,pearson_p_permutation,pearson_p_maxT,spearman_rho,spearman_ci95_low,spearman_ci95_high,spearman_p_analytic,spearman_p_fdr,spearman_p_permutation,spearman_p_maxT,mutual_information,mi_p_permutation,mi_p_maxT,distance_correlation,linear_cv_R2,spline_cv_R2,nonlinear_spline_gain_R2
train,total_area,2.0,totalDOS_022.00_024.00THz,22.0,24.0,23.0,214,log1p,-0.29777036311684846,-0.43124107,-0.18279025,9.360976967900332e-06,4.1455755143558614e-05,0.0001999600079984003,0.001999600079984003,-0.42109792109988325,-0.51656413,-0.31781057,1.3158490790522978e-10,2.0395660725310617e-09,0.0001999600079984003,0.0001999600079984003,,,,,,,
train,total_area,2.0,totalDOS_024.00_026.00THz,24.0,26.0,25.0,214,log1p,-0.3098648779269763,-0.4331878,-0.177391,3.825975830387967e-06,1.976754179033783e-05,0.0001999600079984003,0.0011997600479904018,-0.35851505536289124,-0.46643788,-0.23839544,6.879109376214555e-08,3.5542065110441864e-07,0.0001999600079984003,0.0001999600079984003,,,,,,,
train,total_area,2.0,totalDOS_026.00_028.00THz,26.0,28.0,27.0,214,log1p,-0.1644932217735799,-0.30035675,-0.03489925,0.016010980391621906,0.04136169934502326,0.01759648070385923,0.24315136972605478,-0.23616287804374594,-0.35618934,-0.11059707,0.0004940857815408217,0.0013924235661604972,0.0007998400319936012,0.0061987602479504095,,,,,,,
train,total_area,2.0,totalDOS_028.00_030.00THz,28.0,30.0,29.0,214,log1p,-0.1038492980650402,-0.23819704,0.022415597,0.1299284423609957,0.26851878087939113,0.13457308538292342,0.8274345130973805,-0.17824522623277228,-0.29383355,-0.051261734,0.008970113364847416,0.02317279285918916,0.006998600279944011,0.10177964407118577,,,,,,,
train,total_area,2.0,totalDOS_030.00_032.00THz,30.0,32.0,31.0,214,log1p,-0.10784399480210574,-0.23748112,0.017785292,0.11572515336228106,0.2562485538736224,0.11777644471105779,0.7864427114577085,-0.15280117986525552,-0.27262115,-0.028952982,0.025395058621113176,0.05623191551817918,0.025994801039792043,0.27334533093381325,,,,,,,
train,total_area,2.0,totalDOS_032.00_034.00THz,32.0,34.0,33.0,214,log1p,-0.06288843576877487,-0.2103809,0.074475795,0.3599308403932038,0.5313264786756818,0.3745250949810038,0.999000199960008,-0.14335868392700188,-0.2732141,-0.015577148,0.03610782947002153,0.07462284757137783,0.038992201559688064,0.3779244151169766,,,,,,,
train,total_area,2.0,totalDOS_034.00_036.00THz,34.0,36.0,35.0,214,log1p,0.07026749312625034,-0.04439983,0.17235267,0.3062276338636789,0.5273920360985581,0.3059388122375525,0.9962007598480304,-0.031735243166033024,-0.16128385,0.092399046,0.644336739585079,0.644336739585079,0.6472705458908218,1.0,,,,,,,
train,total_area,2.0,totalDOS_036.00_038.00THz,36.0,38.0,37.0,214,log1p,0.06511367155336949,-0.050861884,0.17301059,0.3431506054707655,0.5313264786756818,0.3515296940611878,0.9982003599280144,0.05753846984207892,-0.07320099,0.18050697,0.40232308821696816,0.4655222642949766,0.40331933613277343,0.9994001199760048,,,,,,,
train,total_area,2.0,totalDOS_038.00_040.00THz,38.0,40.0,39.0,214,log1p,-0.08030413153896564,-0.19833054,0.03437364,0.2420983827131628,0.44147352141812046,0.2481503699260148,0.9818036392721455,-0.11211954122947329,-0.22643894,0.019209333,0.1018976168536659,0.16464795995488177,0.09978004399120176,0.7764447110577885,,,,,,,
train,total_area,2.0,totalDOS_040.00_042.00THz,40.0,42.0,41.0,214,log1p,-0.05161114060319352,-0.18437259,0.043751124,0.45260170519822074,0.5573453162494184,0.47110577884423116,0.9998000399920016,-0.11073503928573751,-0.21104433,0.00787235,0.1062244902934721,0.16464795995488177,0.09978004399120176,0.7916416716656669,,,,,,,
