split,representation,bin_width_THz,feature,bin_low_THz,bin_high_THz,bin_center_THz,n,transform,pearson_r,pearson_ci95_low,pearson_ci95_high,pearson_p_analytic,pearson_p_fdr,pearson_p_permutation,pearson_p_maxT,spearman_rho,spearman_ci95_low,spearman_ci95_high,spearman_p_analytic,spearman_p_fdr,spearman_p_permutation,spearman_p_maxT,mutual_information,mi_p_permutation,mi_p_maxT,distance_correlation,linear_cv_R2,spline_cv_R2,nonlinear_spline_gain_R2
train,compact_descriptors,,totalDOS_fraction_below_5THz,,,,214,none,0.3857553403580754,0.2844427,0.48417875,5.296455012953367e-09,1.6465562993819445e-08,0.0001999600079984003,0.0001999600079984003,0.45427072775090227,0.3440097,0.55820465,2.7129798687877657e-12,7.837497398720213e-12,0.0001999600079984003,0.0001999600079984003,0.37602335642131335,0.001996007984031936,0.001996007984031936,0.43818648436521074,0.12714327518891055,0.16223179527961096,0.035088520090700404
train,compact_descriptors,,totalDOS_fraction_below_10THz,,,,214,none,0.4261268929283246,0.31862012,0.5258216,7.503374413683644e-11,6.502924491859158e-10,0.0001999600079984003,0.0001999600079984003,0.47833132038581266,0.36838296,0.58202696,1.2347874025853995e-13,6.420894493444077e-13,0.0001999600079984003,0.0001999600079984003,0.35607323557051407,0.001996007984031936,0.001996007984031936,0.469850908360016,0.16200320873905283,0.243523340847565,0.08152013210851217
train,compact_descriptors,,totalDOS_fraction_below_20THz,,,,214,none,0.32888983008641787,0.21871169,0.4366365,8.626026766898439e-07,1.8689724661613285e-06,0.0001999600079984003,0.0001999600079984003,0.46771244690834446,0.35255483,0.5652313,4.97465829098561e-13,1.8477302223660836e-12,0.0001999600079984003,0.0001999600079984003,0.2851471458605799,0.001996007984031936,0.001996007984031936,0.392560932605539,0.09788272318369384,0.23194332736735412,0.13406060418366028
train,compact_descriptors,,LiPDOS_positive_area,,,,214,none,0.3445519405135385,0.2759512,0.41463298,2.3406554958382308e-07,5.532458444708545e-07,0.0001999600079984003,0.0001999600079984003,0.4237990822344046,0.33359727,0.50258195,9.742636440351787e-11,1.8093467674939035e-10,0.0001999600079984003,0.0001999600079984003,0.4738512177160934,0.001996007984031936,0.001996007984031936,0.4475123287520324,0.105139179040043,0.21728200766330008,0.11214282862325708
train,compact_descriptors,,LiPDOS_centroid_THz,,,,214,none,-0.3967496150126796,-0.49016967,-0.29819646,1.757099511391111e-09,8.379649934537115e-09,0.0001999600079984003,0.0001999600079984003,-0.39593535378593536,-0.49611858,-0.29008722,1.909379096511873e-09,2.9202268534887465e-09,0.0001999600079984003,0.0001999600079984003,0.3337424421409243,0.001996007984031936,0.001996007984031936,0.45269199615546785,0.14282573286051303,0.305660760357907,0.16283502749739398
train,compact_descriptors,,LiPDOS_std_THz,,,,214,none,0.09229892947525477,-0.020884937,0.20519504,0.17856644356460266,0.17856644356460266,0.1767646470705859,0.850629874025195,0.032863920863138635,-0.085993424,0.1470093,0.6325995689666768,0.6325995689666768,0.6430713857228554,1.0,0.225731638186482,0.001996007984031936,0.001996007984031936,0.22239446746637148,-0.018274891735819532,-0.0013725844445480195,0.016902307291271512
train,compact_descriptors,,LiPDOS_median_THz,,,,214,none,-0.3850098099883718,-0.48080647,-0.286639,5.699617959399039e-09,1.6465562993819445e-08,0.0001999600079984003,0.0001999600079984003,-0.40337376793674584,-0.5057952,-0.29335004,8.86118720657961e-10,1.4399429210691864e-09,0.0001999600079984003,0.0001999600079984003,0.24622762854192715,0.001996007984031936,0.001996007984031936,0.42186073264122137,0.12888935139479374,0.1739948895545924,0.045105538159798675
train,compact_descriptors,,LiPDOS_q05_THz,,,,214,none,-0.6004415680360701,-0.6718041,-0.52217215,2.361531076392902e-22,6.139980798621544e-21,0.0001999600079984003,0.0001999600079984003,-0.6046195665659173,-0.6841151,-0.5108115,1.0147825158374567e-22,2.6384345411773872e-21,0.0001999600079984003,0.0001999600079984003,0.3171742851515136,0.001996007984031936,0.001996007984031936,0.5924211085450913,0.34171115080304126,0.35618236119374935,0.014471210390708089
train,compact_descriptors,,LiPDOS_q95_THz,,,,214,none,-0.20360951864363733,-0.31065035,-0.09858462,0.0027668778019210487,0.003596941142497363,0.003799240151969606,0.04019196160767846,-0.2756158499111631,-0.38387224,-0.1687211,4.355709600577636e-05,5.662422480750926e-05,0.0001999600079984003,0.0007998400319936012,0.371105574588821,0.001996007984031936,0.001996007984031936,0.3490227156790315,0.02860969378577527,0.3533197683845474,0.3247100745987721
train,compact_descriptors,,LiPDOS_bandwidth90_THz,,,,214,none,0.09982062140434692,-0.0025315313,0.20509492,0.1455766535853877,0.15492013579887096,0.14757048590281943,0.7868426314737053,0.04360128578005971,-0.07544197,0.15775192,0.5258211760216605,0.5468540230625268,0.52249550089982,0.9994001199760048,0.2151220672813543,0.001996007984031936,0.001996007984031936,0.25572095837162534,-0.007967610163365446,0.06340114925221307,0.07136875941557852
train,compact_descriptors,,LiPDOS_peak_THz,,,,214,none,-0.09899302509254536,-0.20731266,0.013906837,0.14896166903737593,0.15492013579887096,0.14617076584683064,0.7940411917616477,-0.09467958067811004,-0.21612385,0.03426309,0.1675765185109209,0.18943432527321494,0.17956408718256348,0.7960407918416317,0.0869458158937384,0.00998003992015968,0.14770459081836326,0.1670770333670457,-0.009082964401173399,0.016705660421215907,0.025788624822389306
train,compact_descriptors,,LiPDOS_spectral_entropy,,,,214,none,0.1695358993183996,0.06521461,0.2752099,0.013007065980748888,0.016103986452355765,0.014597080583883223,0.15156968606278745,0.11361868243007073,0.0030221695,0.2229676,0.0973708217013114,0.11507460746518619,0.10357928414317137,0.6104779044191162,0.24539076906034296,0.001996007984031936,0.001996007984031936,0.26460961212646317,0.007499474516515114,0.00741121776781728,-8.825674869783473e-05
train,compact_descriptors,,LiPDOS_fraction_below_2THz,,,,214,none,0.44721220931636446,0.37500826,0.5391803,6.420718215544922e-12,8.346933680208398e-11,0.0001999600079984003,0.0001999600079984003,0.5822939095985324,0.49321875,0.66001564,8.053625564115328e-21,1.0469713233349926e-19,0.0001999600079984003,0.0001999600079984003,0.2187869621348426,0.001996007984031936,0.001996007984031936,0.5306135346635866,0.18061390654197018,0.2881299399457272,0.10751603340375704
train,compact_descriptors,,LiPDOS_fraction_below_5THz,,,,214,none,0.3912419884944425,0.29015952,0.48965922,3.0693607793590885e-09,1.1400482894762328e-08,0.0001999600079984003,0.0001999600079984003,0.5315335637158232,0.42513442,0.6234986,5.285046374302655e-17,4.580373524395634e-16,0.0001999600079984003,0.0001999600079984003,0.3622956435677249,0.001996007984031936,0.001996007984031936,0.47690868172538975,0.1175641583284961,0.3217123633564365,0.2041482050279404
train,compact_descriptors,,LiPDOS_fraction_below_10THz,,,,214,none,0.39581082643202903,0.27928573,0.5013307,1.9337653695085653e-09,8.379649934537115e-09,0.0001999600079984003,0.0001999600079984003,0.3678958038203122,0.25143614,0.47650954,2.9216705880442105e-08,4.220190849397193e-08,0.0001999600079984003,0.0001999600079984003,0.3290114131397126,0.001996007984031936,0.001996007984031936,0.4233584045982084,0.13680384579690685,0.24544748674656647,0.10864364094965961
train,compact_descriptors,,LiPDOS_fraction_below_20THz,,,,214,none,0.12704154431222844,0.029992282,0.23833112,0.06358246194272267,0.07514290956867224,0.0673865226954609,0.496500699860028,0.4856784851936453,0.39396527,0.57804465,4.57590015987268e-14,2.9743351039172415e-13,0.0001999600079984003,0.0001999600079984003,0.29482415568971376,0.001996007984031936,0.001996007984031936,0.3653897256809749,0.002154033678683165,0.29285525015203884,0.2907012164733557
